6:15:00,0
6:30:00,1
6:45:00,2
7:00:00,3
7:15:00,4
7:30:00,5
7:45:00,6
8:00:00,7
8:15:00,8
8:30:00,9
8:45:00,10
9:00:00,11
9:15:00,12
9:30:00,13
9:45:00,14
10:00:00,15
10:15:00,16
10:30:00,17
10:45:00,18
11:00:00,19
11:15:00,20
11:30:00,21
11:45:00,22
12:00:00,23
12:15:00,24
12:30:00,25
12:45:00,26
13:00:00,27
13:15:00,28
13:30:00,29
13:45:00,30
14:00:00,31
14:15:00,32
14:30:00,33
14:45:00,34
15:00:00,35
15:15:00,36
15:30:00,37
15:45:00,38
16:00:00,39
16:15:00,40
16:30:00,41
16:45:00,42
17:00:00,43
17:15:00,44
17:30:00,45
17:45:00,46
18:00:00,47
18:15:00,48
18:30:00,49
18:45:00,50
19:00:00,51
19:15:00,52
19:30:00,53
19:45:00,54
20:00:00,55
20:15:00,56
20:30:00,57
20:45:00,58
21:00:00,59
21:15:00,60
21:30:00,61
